"","PlantID","Seed","Observer","Date","Notes","Harvest","Block","Plot","Position","Warming","Mow","DT1","DT2","DT3","DT4","DT5","DT6","DT7","DT8","DT9","DT10","DT.Avg","SeedLength","SeedWidth","FieldDiameter","Diameter","Peduncle.","Emrg","eggCases","Cysts","goodSeed","badSeed","DateMowed","MaxHeightPostMow"
"25","1_2_1",1,"RMC","11/19/2015","unidentified insect","7/31/2015",1,2,1,"W","L",1.87,1.97,NA,NA,NA,NA,NA,NA,NA,NA,1.92,10.05,10.69,34.83,21.6,"Y",0,0,0,52,38,"6/19/2015",32.6
"26","1_2_1",2,"RMC","1/18/2016",NA,"7/31/2015",1,2,1,"W","L",1.07,1.07,NA,NA,NA,NA,NA,NA,NA,NA,1.07,13.41,13.04,28.79,23.78,"Y",0,0,0,45,77,"6/19/2015",32.6
"27","1_2_1",2,"RMC","11/19/2015","unidentified insect","7/31/2015",1,2,1,"W","L",1.87,1.91,NA,NA,NA,NA,NA,NA,NA,NA,1.89,10.93,12.54,34.83,21.6,"Y",0,0,0,52,38,"6/19/2015",32.6
"28","1_2_1",3,"RMC","1/18/2016",NA,"7/31/2015",1,2,1,"W","L",0.84,0.78,NA,NA,NA,NA,NA,NA,NA,NA,0.81,11.41,8.26,28.79,23.78,"Y",0,0,0,45,77,"6/19/2015",32.6
"29","1_2_1",4,"RMC","1/18/2016",NA,"7/31/2015",1,2,1,"W","L",0.84,0.78,NA,NA,NA,NA,NA,NA,NA,NA,0.81,10.56,10.41,28.79,23.78,"Y",0,0,0,45,77,"6/19/2015",32.6
"30","1_2_2",1,"RMC","11/12/2015","sticky seeds","7/24/2015",1,2,2,"W","CTL",0.81,0.84,NA,NA,NA,NA,NA,NA,NA,NA,0.83,15.85,19.37,43.29,33.91,"Y",0,0,0,170,13,NA,90.4
"31","1_2_3",1,"RMC","12/3/2015",NA,"7/24/2015",1,2,3,"W","E",1.84,2,1.81,NA,NA,NA,NA,NA,NA,NA,1.83,18.75,17.82,43.13,33.41,"Y",0,0,0,220,31,"6/5/2015",74.2
"32","1_2_3",1,"RMC","11/13/2015",NA,"7/24/2015",1,2,3,"W","E",2.72,2.81,NA,NA,NA,NA,NA,NA,NA,NA,2.77,12.69,19.28,41.85,30.88,"Y",0,0,0,181,58,"6/5/2015",74.2
"33","1_2_3",2,"RMC","11/13/2015",NA,"7/24/2015",1,2,3,"W","E",2.25,2.31,NA,NA,NA,NA,NA,NA,NA,NA,2.28,13.5,16.34,41.85,30.88,"Y",0,0,0,181,58,"6/5/2015",74.2
"34","1_2_3",2,"RMC","12/3/2015",NA,"7/24/2015",1,2,3,"W","E",2.25,2.28,NA,NA,NA,NA,NA,NA,NA,NA,2.27,18.94,13.36,43.13,33.41,"Y",0,0,0,220,31,"6/5/2015",74.2
"35","1_2_3",3,"RMC","12/3/2015",NA,"7/24/2015",1,2,3,"W","E",1.65,1.59,NA,NA,NA,NA,NA,NA,NA,NA,1.62,17.26,16.46,43.13,33.41,"Y",0,0,0,220,31,"6/5/2015",74.2
"36","1_2_3",3,"RMC","11/13/2015",NA,"7/24/2015",1,2,3,"W","E",2.16,2.16,NA,NA,NA,NA,NA,NA,NA,NA,2.16,13.6,14.97,41.85,30.88,"Y",0,0,0,181,58,"6/5/2015",74.2
"37","1_2_3",4,"RMC","11/13/2015",NA,"7/24/2015",1,2,3,"W","E",1.47,1.57,NA,NA,NA,NA,NA,NA,NA,NA,1.52,13.06,13.95,41.85,30.88,"Y",0,0,0,181,58,"6/5/2015",74.2
"38","1_2_3",4,"RMC","12/3/2015",NA,"7/24/2015",1,2,3,"W","E",1.97,2.03,NA,NA,NA,NA,NA,NA,NA,NA,2,18.66,15.17,43.13,33.41,"Y",0,0,0,220,31,"6/5/2015",74.2
"39","1_2_3",5,"RMC","11/13/2015",NA,"7/24/2015",1,2,3,"W","E",2.28,2.28,NA,NA,NA,NA,NA,NA,NA,NA,2.28,14.87,20.5,41.85,30.88,"Y",0,0,0,181,58,"6/5/2015",74.2
"40","1_2_3",5,"RMC","12/3/2015",NA,"7/24/2015",1,2,3,"W","E",2.47,2.43,NA,NA,NA,NA,NA,NA,NA,NA,2.45,17.32,18.09,43.13,33.41,"Y",0,0,0,220,31,"6/5/2015",74.2
"41","1_2_3",6,"RMC","11/13/2015",NA,"7/24/2015",1,2,3,"W","E",1.88,1.75,1.88,NA,NA,NA,NA,NA,NA,NA,1.88,13.48,14,41.85,30.88,"Y",0,0,0,181,58,"6/5/2015",74.2
"42","1_2_3",6,"RMC","12/3/2015",NA,"7/24/2015",1,2,3,"W","E",2.44,2.44,NA,NA,NA,NA,NA,NA,NA,NA,2.44,17.45,21.97,43.13,33.41,"Y",0,0,0,220,31,"6/5/2015",74.2
"43","1_2_3",7,"RMC","12/3/2015",NA,"7/24/2015",1,2,3,"W","E",2.13,2.22,NA,NA,NA,NA,NA,NA,NA,NA,2.18,18.48,15.3,43.13,33.41,"Y",0,0,0,220,31,"6/5/2015",74.2
"44","1_2_3",7,"RMC","11/13/2015",NA,"7/24/2015",1,2,3,"W","E",2.5,2.6,NA,NA,NA,NA,NA,NA,NA,NA,2.55,14.51,13.89,41.85,30.88,"Y",0,0,0,181,58,"6/5/2015",74.2
"45","1_2_3",8,"RMC","12/3/2015",NA,"7/24/2015",1,2,3,"W","E",2.35,2.37,NA,NA,NA,NA,NA,NA,NA,NA,2.36,19.39,20.05,43.13,33.41,"Y",0,0,0,220,31,"6/5/2015",74.2
"46","1_2_3",8,"RMC","11/13/2015",NA,"7/24/2015",1,2,3,"W","E",2.4,2.44,NA,NA,NA,NA,NA,NA,NA,NA,2.42,14.64,16.03,41.85,30.88,"Y",0,0,0,181,58,"6/5/2015",74.2
"47","1_2_3",9,"RMC","11/13/2015",NA,"7/24/2015",1,2,3,"W","E",1.72,1.82,NA,NA,NA,NA,NA,NA,NA,NA,1.77,12.83,10.95,41.85,30.88,"Y",0,0,0,181,58,"6/5/2015",74.2
"48","1_2_3",9,"RMC","12/3/2015",NA,"7/24/2015",1,2,3,"W","E",1.97,2.07,NA,NA,NA,NA,NA,NA,NA,NA,2.02,16.45,20.07,43.13,33.41,"Y",0,0,0,220,31,"6/5/2015",74.2
